index	mean	var	var_tech	ct_mean	ct_var	ct_var_tech	mean_var
Pip4k2a	4.6472516	13.010259	13.788922460341018	4826.811	84572000.0	89633632.92620157	11.6
Chd7	4.4601955	12.292405	12.091336411263317	4531.506	78777624.0	77489046.57048766	5.1
Atp6v0c	4.691681	13.625278	20.93782793324909	8335.294	342322140.0	526042984.2273298	11.9
Exoc3	4.673643	13.316022	14.423853411258323	7139.039	296657280.0	321337794.87976855	11.8
Pex5	4.468037	12.664088	12.688792187001217	4493.0957	76856344.0	77006268.28226493	6.5
Wrn	4.3674617	12.829974	12.684169230003786	4505.9795	78012450.0	77125883.42115435	1.5
Zfp236	4.4189405	12.730405	12.738626921287826	4484.3013	76929440.0	76979125.69759905	3.6
Asna1	4.3693385	12.957882	12.536303833138254	4764.011	89487736.0	86576298.04880853	1.10
Pdhx	4.414907	12.263406	12.262442277790301	4474.0396	77017340.0	77011292.8334362	3.0
Uck1	4.57393	13.096492	12.556271280669293	6160.135	208159200.0	199572788.03786197	9.8
Sec31a	4.697838	11.845656	11.305933187362108	5874.644	178438900.0	170308691.1301317	11.0
Bcl9l	4.356049	12.718464	12.71752942786389	4474.222	77015800.0	77010141.38092667	0.1
Scyl1	4.7182307	13.8758135	10.659583782547543	12722.659	2075493200.0	1594421414.8145266	12.11
Osbpl11	4.4217114	13.2924795	12.523711837848438	5800.267	173151550.0	163137369.44750014	3.12
Csnk1g3	4.593282	11.886357	11.38932164764794	5862.1074	176479120.0	169099532.32827342	10.0
Dusp2	4.659349	15.476307	8.06273725588371	26147.13	13856172000.0	7218690807.689756	11.14
Lsm14a	4.535774	12.857274	12.886783038258784	6517.5215	238753500.0	239301471.86684957	8.5
Psmd8	5.123484	14.289738	22.274990665781615	21654.377	3098212900.0	4829526200.426047	14.9
Sppl3	4.620593	14.287533	16.689335818667473	8837.16	534518940.0	624374150.4384657	10.13
Slc43a2	4.5631504	13.5917	19.78739863220889	9911.022	585738500.0	852744061.1176487	9.12
Cst3	6.659526	17.146862	9.562451389503257	301815.12	1925875800000.0	1074021200846.3406	14.14
Commd5	4.502152	13.167995	12.288877989596607	6098.5645	206943700.0	193127787.74568892	7.9
Pcyox1l	4.488669	13.018817	13.033411801779124	4545.6255	77694380.0	77781483.94029163	7.7
Ergic1	4.6482663	12.198174	12.33476096088233	4541.103	76830790.0	77691088.57816498	11.1
Dennd4c	4.4035335	12.467119	12.467044343134269	4476.0015	77000456.0	76999993.55831943	2.1
Plac8	4.9971924	15.536601	14.34305016676305	48614.41	29671344000.0	27391935695.534878	13.14
Rapgef6	4.7199597	15.060115	15.250546440106113	19496.66	3822246700.0	3870578058.180814	12.14
Sft2d2	4.5879407	12.820358	11.82138828648147	7040.1875	332840400.0	306905262.0735747	10.6
Mrpl28	4.460863	13.459936	15.06662485572204	5894.4497	153862610.0	172228914.72946537	5.13
Trim11	4.528703	14.930463	19.148178831313782	15383.886	1866527900.0	2393804524.1030293	8.14
Rbm4	4.3824015	12.651026	12.651390547413337	4476.756	76994080.0	76996300.0207769	1.2
Sox4	4.5867224	13.105752	13.428735046582839	4706.429	81886580.0	83904619.41506225	10.8
Memo1	4.4217925	13.008837	12.967670738917294	4506.101	77371940.0	77127095.2241325	3.9
Upf3a	4.483689	13.253708	13.094465288881185	5088.224	106443016.0	105164108.81178653	6.10
Mrps9	4.358058	12.845368	12.4351095585368	4622.495	82837990.0	80192289.95462859	0.5
Fbxo46	4.4310246	13.706746	11.188968872383855	8372.556	653038000.0	533082175.701203	4.14
Cep57	4.5675783	14.169569	17.148485374904485	10493.833	819058940.0	991252472.605299	9.14
Apeh	4.6879773	15.210787	22.917215874686867	17073.057	1953097100.0	2942618821.8390384	11.14
Nop56	4.6357436	13.252287	14.02057538238283	4730.071	80328400.0	84985361.02553357	11.8
Arhgap27	4.454926	13.463815	14.452688776753359	5655.8247	139312600.0	149544672.56639197	5.13
Nol8	4.409258	12.598082	12.600734748904943	4479.646	76969290.0	76985497.75757405	3.4
Cbx7	4.4809527	12.54228	12.581823433612906	4499.259	76813790.0	77055970.12817284	6.3
Cep350	4.348782	12.935087	12.587632240784876	4662.6685	84213450.0	81951354.20705442	0.13
Rab4b	4.6264296	14.651867	23.383747450699676	14257.276	1279422300.0	2041902848.679749	11.13
Pla2g4a	4.4581003	12.892195	12.94736365401305	4503.6978	76775064.0	77103603.58372113	5.7
Itga4	4.5277963	14.33528	11.756518834245032	10931.304	1342015500.0	1100601446.2245104	8.14
Fkbp2	4.7095847	13.000591	17.251028419123386	7237.6924	253353200.0	336184959.57536274	12.6
Sdf2l1	4.598062	13.34567	16.68122202902033	10809.034	855638100.0	1069492131.9191177	10.9
Sh2d3c	4.5309825	13.11506	13.380764832659656	4555.4204	76398904.0	77946710.07119133	8.7
Gpx8	4.3921466	13.06762	13.103945309030895	4497.821	76828230.0	77041797.12493737	2.11
Slc39a9	4.360502	13.161849	12.622292127644636	5273.164	123602184.0	118535235.54825653	0.14
Siah2	4.659957	12.598405	12.676643039613982	4580.508	78036776.0	78521397.14481536	11.3
Kank3	4.4660697	12.945746	12.586053766685549	5007.859	102555180.0	99705727.10286927	6.7
Mrps33	4.6137204	12.827476	13.12191906978651	4923.596	92591176.0	94716525.75144705	10.6
Hsd17b4	4.5577765	12.950544	10.383137164127412	8835.964	778459800.0	624132423.160101	9.7
Vrk2	4.460084	12.723062	12.692988031610554	4505.572	77304570.0	77121843.0142239	5.5
Ran	5.0384526	11.594203	12.603049479068172	5060.55	94961160.0	103224016.22214411	14.0
C2cd3	4.393968	12.717	12.71955408406938	4479.4697	76970540.0	76986002.72870058	2.4
Actr10	4.941814	12.80272	11.996621215257113	15046.378	2440540700.0	2286876682.657599	13.4
Rock1	4.835301	12.708545	8.7526166385746	13231.668	2526983400.0	1740381580.2850258	13.4
Atg2a	4.368226	13.177434	12.521396524194902	5457.789	139630030.0	132678562.58343552	1.14
Snx21	4.3709087	12.772822	12.773835741557736	4477.7065	76986060.0	76992171.86796707	1.4
Ctdspl	4.399644	12.782291	12.720084549779584	4499.225	77432450.0	77055611.83689673	2.6
Nfkbie	4.3830953	12.895504	12.903874441803168	4484.5913	76929250.0	76979182.6099609	1.8
Gpr137b	4.334137	12.889966	12.888931276892496	4474.0063	77017680.0	77011497.45274143	0.9
Rnf138	4.4440594	12.555445	12.571735458025938	4489.55	76889190.0	76988956.03954196	5.3
Txn2	5.016661	13.187114	19.18739317049497	14908.733	1541699300.0	2243189199.025888	13.6
Nek9	4.6208467	14.137338	13.42953386967859	15046.061	2407296300.0	2286771903.2733483	10.13
Acot7	4.707605	14.182784	16.157682013063177	13377.344	1564596100.0	1782460062.4637911	12.12
Cdk16	4.6235137	12.032746	12.12564726552472	4517.361	76662710.0	77254600.05514298	10.1
Impact	4.5224686	13.080776	13.188269013090217	4618.8936	79382130.0	80034459.86080623	8.7
Etnk1	4.5948234	12.850076	13.241308635055416	8808.298	600261250.0	618536778.9688666	10.6
Otud1	4.3857226	12.561092	12.560611138811176	4475.2363	77007064.0	77004113.72175314	1.0
Nudt21	4.4604864	12.626261	12.42563482004794	4937.4595	97035120.0	95493273.02847439	5.4
Prune2	4.484558	12.079926	12.082348505364944	4479.554	76970320.0	76985758.55890569	6.0
Gata3	4.4400797	14.344162	9.386478115356661	15508.248	3718367500.0	2433211161.5761237	4.14
Slc30a7	4.5021462	12.662021	12.44247098748145	4645.612	82635950.0	81203108.1768749	7.3
Cops6	4.9397798	13.001003	13.82551518519079	6154.7827	187141680.0	199010036.82628646	13.5
Cggbp1	4.6320395	14.386914	12.826607589049983	10584.298	1136719200.0	1013438411.5420674	11.12
Bloc1s2	4.5824046	12.900028	13.894139499292201	7226.847	310598700.0	334534267.8978026	10.7
Taok1	4.731616	13.815582	16.910480129624045	12606.248	1275463400.0	1561186380.5432267	12.11
Irak3	4.398775	12.767533	12.773218010489284	4482.4443	76945780.0	76980035.88967896	2.5
Arhgap4	4.5019097	13.56329	11.4243026955424	7946.814	539602100.0	454504624.26172626	7.12
Ank3	4.407372	12.781778	12.790211806965672	4484.4956	76928400.0	76979157.6836167	3.6
Hbp1	4.8331237	13.737746	15.268299828703272	13367.386	1601183400.0	1779574844.1127746	13.9
Pdcl	4.558243	11.322841	11.323342391585808	4477.013	76991720.0	76995131.40725137	9.0
Perp	4.8933353	14.776444	19.960640964923762	7888.466	328638430.0	443938579.21845895	13.13
Itprip	4.481939	12.834054	12.338224484114981	5397.6753	133090104.0	127948314.74396527	6.6
Stxbp1	4.389981	12.678452	12.680485770808946	4479.011	76975070.0	76987422.49957386	2.4
Pes1	4.597862	12.007934	11.837694258036242	4617.953	81143784.0	79993389.08746034	10.1
Tubgcp5	4.430311	12.938061	12.992160231887125	4503.6787	76782370.0	77103427.36103532	4.8
Rrp36	4.609595	13.520265	16.3351824205313	9799.877	684931100.0	827533655.330025	10.10
Tmem126a	4.6190896	12.7630625	12.121978527958678	5939.5034	186039570.0	176694868.70341134	10.5
Zeb2	4.426625	13.29646	13.063889507578631	5144.498	111154760.0	109210533.20336398	4.12
Fkbp5	4.3690686	12.973568	12.980348537343955	4483.391	76939090.0	76979299.8549686	1.11
Tnks2	4.606544	12.161286	12.18660287979068	4548.597	77671950.0	77833644.10342778	10.1
Ankrd40	4.514442	11.527118	11.526373762153906	4474.4683	77013576.0	77008605.49800707	8.0
Higd1a	4.916287	13.719204	11.933962301294802	21358.729	5393071600.0	4691286286.937766	13.9
Slc25a5	6.5399876	14.038089	24.012899622550677	101894.164	75390990000.0	128960313511.61958	14.8
Zyx	4.8800592	14.462599	24.41305763187346	10661.969	611757060.0	1032653983.6085708	13.12
Srxn1	4.6715574	12.204627	12.408944455509586	4544.479	76479260.0	77759601.8373515	11.1
Ndufs8	4.641197	13.625669	16.603340427000568	9423.038	611952640.0	745685100.73181	11.10
Zdhhc18	4.4688873	13.381923	13.106728811458542	5302.8975	123307190.0	120771428.7130092	6.11
P4ha1	4.878374	11.958783	11.572955640540581	10017.064	906620100.0	877369714.1650214	13.1
B9d2	4.4318967	12.658584	12.666287537419779	4483.9346	76932310.0	76979132.29015005	4.5
Ube2z	4.3954844	13.087572	12.584224431815565	5276.8574	123564410.0	118812124.23810749	2.12
Lpcat3	4.8292403	14.5168705	18.765287518493373	14899.348	1733036700.0	2240216404.2987776	13.12
Mgst2	4.4526544	13.108248	11.357554529348116	6875.544	327877000.0	284086850.0964942	5.10
Pdrg1	4.6380534	13.985351	17.091716597493036	11928.129	1120328200.0	1369170676.4764194	11.11
Cox5a	5.1360097	13.08953	6.893988455487909	29341.977	17584794000.0	9261552107.104176	14.5
Nfe2l1	4.4928913	12.240485	12.250712816935668	4485.917	76915896.0	76980163.6310575	7.1
Ascc1	4.444272	12.222303	12.222904616541928	4477.1323	76990810.0	76994595.24672872	5.1
Ppp1r18	4.5857654	13.13851	14.177125751595067	6912.7964	267923780.0	289103493.1939915	10.9
Taf1b	4.394534	13.079111	13.121788314435156	4499.966	76812780.0	77063424.55862738	2.11
Smad1	4.5694585	12.910434	12.810040619775869	5033.068	102149300.0	101354970.28462352	9.6
Atic	4.3646436	12.65442	12.653441248666253	4474.0913	77016920.0	77010963.77015711	0.0
Rpl7	6.2361217	12.021235	15.460700052041952	29910.75	7506110000.0	9653726096.099915	14.1
Zyg11b	4.417766	12.488003	12.489325648079054	4478.1304	76982350.0	76990506.8443901	3.2
Edc4	4.4055653	12.398485	12.248901414750922	4503.015	78038024.0	77096520.13242875	3.1
Ccdc9	4.389308	13.390958	12.074557912235882	6317.657	240080820.0	216479638.92535523	2.13
Fbxo33	4.4232993	13.288806	12.917373413758208	5333.358	126596050.0	123057589.18042567	4.12
Btg2	5.8085117	15.3603525	26.574082378394866	33899.355	7309917000.0	12646476779.898907	14.12
Sc5d	4.70196	11.8826475	10.00132884773732	7688.1934	485414880.0	408561630.44513804	12.1
Mrps21	4.545177	13.399327	18.448784850010412	7292.2275	250244780.0	344548057.07941103	8.10
Hcfc1	4.470387	12.619769	12.65087904081172	4495.8467	76836136.0	77025550.55295062	6.4
4930523C07Rik	4.6995726	13.649067	13.515054578691132	6018.279	186583620.0	184751658.67212033	11.10
Eny2	4.4537067	12.783825	12.665152217032865	5364.9854	126616410.0	125441023.35937358	5.6
Brox	4.43976	12.80495	12.488601715873216	4724.161	86859160.0	84713292.50871542	4.7
Nkiras2	4.501178	12.582934	12.200922052839271	5192.341	116182984.0	112655719.95280911	7.3
Adm	4.6371875	12.760424	13.113184700865332	4577.237	76309090.0	78418647.5260619	11.4
Xiap	4.59599	14.218074	16.369228292095446	13826.816	1662154500.0	1913633780.3940918	10.13
Tnfrsf21	4.5313134	13.93826	15.295637034423457	8327.672	478054050.0	524609324.2556566	8.13
Bach1	4.4895053	12.88798	12.499017948912673	5570.2686	146389730.0	141971648.95836207	7.6
Was	4.460725	13.600032	14.456447354946597	5873.7505	160138420.0	170222585.17322248	5.13
Tcea3	4.3793645	13.154165	12.64015138159062	5275.9634	123573750.0	118744967.86790307	1.13
Ruvbl1	4.4195375	12.9009075	12.706510105667657	4546.2954	78983976.0	77793805.43173489	3.8
Slc27a4	4.454016	12.566125	12.580609726365699	4488.43	76896720.0	76985357.85840808	5.3
Atn1	4.3580356	12.888297	12.88953835630394	4477.9985	76983600.0	76991014.31093468	0.8
Slc41a1	4.450469	12.65206	12.669434861001134	4489.7876	76884220.0	76989810.51804611	5.4
