MOUSE_GENE_SYM	HUMAN_GENE_SYM
Acadm	ACADM
Acadvl	ACADVL
Acat1	ACAT1
Acvr1	ACVR1
Sgca	SGCA
Adsl	ADSL
Aga	AGA
Agt	AGT
Alad	ALAD
Alas2	ALAS2
Ampd1	AMPD1
Apoh	APOH
Fas	FAS
Ar	AR
Arg1	ARG1
Asl	ASL
Aspa	ASPA
Atp7a	ATP7A
Bckdhb	BCKDHB
Brca2	BRCA2
Serping1	SERPING1
C2	C2
C6	C6
C8b	C8B
Capn3	CAPN3
Cd3g	CD3G
Cd40lg	CD40LG
Chrna1	CHRNA1
Chrne	CHRNE
Lyst	LYST
Ercc8	ERCC8
Clcn1	CLCN1
Clcnka	CLCNKB
Col1a2	COL1A2
Col7a1	COL7A1
Comp	COMP
Cp	CP
Cpox	CPOX
Cpt2	CPT2
Cst3	CST3
Cstb	CSTB
Cyba	CYBA
Ddb2	DDB2
Dld	DLD
Dpyd	DPYD
Edn3	EDN3
Ednrb	EDNRB
Emd	EMD
Eng	ENG
Epb42	EPB42
Ephx1	EPHX1
Epor	EPOR
Ercc3	ERCC3
Etfa	ETFA
F5	F5
F9	F9
Fabp2	FABP2
Fanca	FANCA
Fancc	FANCC
Fah	FAH
Ms4a2	MS4A2
Fech	FECH
Fh1	FH
Fshr	FSHR
Fuca2	FUCA2
Fut1	FUT1
Galc	GALC
Galk1	GALK1
Galt	GALT
Gbe1	GBE1
Gcdh	GCDH
Gcgr	GCGR
Gch1	GCH1
Ghr	GHR
Gja1	GJA1
Gjb1	GJB1
Gli3	GLI3
Gldc	GLDC
Glra3	GLRA3
Gp1ba	GP1BA
Gp9	GP9
Gpi1	GPI
Gsn	GSN
Gss	GSS
Msh6	MSH6
Hadha	HADHA
Hadhb	HADHB
Hgd	HGD
Hmbs	HMBS
Hmgcl	HMGCL
Tbx5	TBX5
Hps1	HPS1
Sgsh	SGSH
Icam1	ICAM1
Ids	IDS
Idua	IDUA
Cfi	CFI
Il2rg	IL2RG
Ins2	INS
Pdx1	PDX1
Itgb4	ITGB4
Jag1	JAG1
Jak3	JAK3
Kcna1	KCNA1
Kcne1	KCNE1B
Kit	KIT
Krt12	KRT12
Lamb3	LAMB3
Lep	LEP
Sgcg	SGCG
Sgcb	SGCB
Lig1	LIG1
Lipc	LIPC
Lpl	LPL
Kcnh2	KCNH2
Maoa	MAOA
Met	MET
Ciita	CIITA
Mlh1	MLH1
Msh2	MSH2
Mttp	MTTP
Mybpc3	MYBPC3
Myo7a	MYO7A
Myoc	MYOC
Naga	NAGA
Naglu	NAGLU
Ptch1	PTCH1
Ndp	NDP
Nf1	NF1
Npc1	NPC1
Nphp1	NPHP1
Gpr143	GPR143
Oat	OAT
Ocrl	OCRL
Pah	PAH
Pcca	PCCA
Pde6b	PDE6B
Pepd	PEPD
Pex12	PEX12
Pex7	PEX7
Phka2	PHKA2
Phkb	PHKB
Pkd1	PKD1
Pkp1	PKP1
Plod1	PLOD1
Pmm2	PMM2
Pou1f1	POU1F1
Pou3f4	POU3F4
Ppox	PPOX
Pros1	PROS1
Pten	PTEN
Pth	PTH
Pth1r	PTH1R
Pts	PTS
Pex2	PEX2
Pex5	PEX5
Qdpr	QDPR
Rb1	RB1
Prph2	PRPH2
Rom1	ROM1
Rs1	RS1
Atxn1	ATXN1
Scn4a	SCN4A
Sgcd	SGCD
Slc12a1	SLC12A1
Slc12a3	SLC12A3
Snca	SNCA
Sox9	SOX9
Sptb	SPTB
Star	STAR
Abca4	ABCA4
Tcn2	TCN2
Tgm1	TGM1
Th	TH
Thbd	THBD
Tnni3	TNNI3
Tpmt	TPMT
Tsc1	TSC1
Tshr	TSHR
Ttr	TTR
Umps	UMPS
Urod	UROD
Xdh	XDH
Aire	AIRE
Apob	APOB
Blmh	BLMH
Slc25a20	SLC25A20
Casr	CASR
Cdkn1a	CDKN1A
Chm	CHM
Tpp1	TPP1
Ercc2	ERCC2
Ext2	EXT2
Gale	GALE
Gm2a	GM2A
Gnrhr	GNRHR
Gpd2	GPD2
Guca1a	GUCA1A
Hsd17b4	HSD17B4
Ifngr1	IFNGR1
Il2ra	IL2RA
Kel	KEL
Krt17	KRT17
Ltbp2	LTBP2
